,Player,Season,AGE,GP,PTS,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,LENGTH,AAV
1279,Ray Emery,2016,33.0,30.0,0.0,11.666666666666666,5.666666666666667,6.0,47.6,23.666666666666668,9.666666666666666,11.333333333333334,5.333333333333333,76.33333333333333,742.3333333333334,666.0,0.8969999999999999,3.026666666666667,0.6666666666666666,2.9333333333333336,1512.6666666666667,12.333333333333334,4.666666666666667,1,600000.0
1306,Cam Talbot,2016,28.0,31.0,0.0,8.333333333333334,3.6666666666666665,4.666666666666667,58.56666666666666,29.0,18.0,8.0,3.0,62.333333333333336,878.6666666666666,816.3333333333334,0.931,2.02,4.333333333333333,6.8,1800.3333333333333,16.666666666666668,1.3333333333333333,3,4166666.0
1317,Jonas Gustavsson,2015,30.0,17.0,0.5,12.5,3.0,9.5,86.35,15.0,9.0,3.5,2.5,42.5,437.5,395.0,0.893,2.775,0.0,2.1,950.0,7.5,3.5,1,700000.0
1318,Eddie Lack,2015,28.0,41.0,0.0,19.0,4.0,15.0,78.0,35.666666666666664,17.333333333333332,14.333333333333334,4.333333333333333,94.33333333333331,1151.3333333333333,1057.0,0.918,2.436666666666667,2.6666666666666665,7.433333333333333,2322.333333333333,18.666666666666668,5.0,2,2750000.0
1323,John Gibson,2015,22.0,23.0,0.0,3.0,1.0,2.0,66.7,21.0,13.0,8.0,0.0,58.0,674.0,616.0,0.914,2.6,1.0,4.0,1340.0,13.0,4.0,3,2300000.0
1346,Jonathan Bernier,2015,26.0,46.25,1.0,20.0,8.5,11.5,44.85,42.75,19.25,19.5,5.5,116.75,1391.0,1274.25,0.917,2.5775,1.5,8.7,2551.5,22.5,7.0,2,4150000.0
1358,Braden Holtby,2015,25.0,57.5,2.0,28.75,8.0,20.75,75.1,56.0,32.0,16.75,6.25,132.5,1671.5,1539.0,0.92025,2.4675,6.5,11.45,3309.75,33.0,6.5,5,6100000.0
1402,Anders Nilsson,2015,25.0,19.0,0.0,11.0,3.0,8.0,72.7,17.0,8.0,7.0,2.0,57.0,548.0,491.0,0.896,3.11,0.0,2.1,1101.0,6.0,4.0,1,1000000.0
1407,Jake Allen,2015,24.0,29.666666666666668,1.3333333333333333,10.666666666666666,2.6666666666666665,8.0,82.2,25.666666666666668,17.666666666666668,6.0,2.6666666666666665,63.66666666666666,721.3333333333334,657.6666666666666,0.9103333333333332,2.34,3.0,4.133333333333333,1652.6666666666667,13.333333333333334,5.333333333333333,2,2350000.0
1421,Karri Ramo,2015,28.0,36.0,0.3333333333333333,18.33333333333333,5.0,13.333333333333334,73.96666666666667,33.666666666666664,15.666666666666666,11.0,3.333333333333333,82.33333333333333,931.6666666666666,849.3333333333334,0.9116666666666668,2.6166666666666667,2.0,5.266666666666667,1885.3333333333333,15.666666666666666,5.0,1,3800000.0
